ID, Accommodates, Bathrooms, Bedrooms, Beds, limpieza, extra, finde
4073979, 1, 1, 1, 1, , , 
4072581, 1, 1, 1, 1, , , 
4085000, 6, 1, 2, 4, €10, €7 / night after 2 guests, €75 / night
4091325, 1, 2, 1, 1, , , 
4107367, 6, 2, 3, 4, €60, €10 / night after 4 guests, 
4115071, 6, 1, 2, 3, €25, €10 / night after 3 guests, €70 / night
4123744, 2, 1, 1, 1, , €10 / night after the first guest, €22 / night
4124223, 2, 1, 1, 1, , No Charge, €45 / night
4162503, 5, 1, 4, 4, , No Charge, 
4203669, 4, 1, 2, 2, , €10 / night after 2 guests, 
4218089, 3, 1, 1, 2, €10, €25 / night after the first guest, 
4221121, 4, 1, 1, 2, €45, No Charge, 
4230922, 4, 1, 2, 3, €50, , €150 / night
4238597, 4, 1, 2, 4, €10, €20 / night after 2 guests, 
4238463, 2, 1, 1, 1, , , 
4241115, 2, 1, Studio, 1, €15, No Charge, 
4255785, 5, 1, 2, 4, , No Charge, €75 / night
